Row,CH1 Time (ms),CH1 Peak (cm/s),CH1 Dias (cm/s),CH1 Mean (cm/s),CH1 Emboli Per Min,CH1 Emboli Count,CH1 Depth,CH1 Sample,CH1 Power,CH1 Vessel,CH1 Time,CH1 Date,CH1 Messages,CH2 Time (ms),CH2 Peak (cm/s),CH2 Dias (cm/s),CH2 Mean (cm/s),CH2 Emboli Per Min,CH2 Emboli Count,CH2 Depth,CH2 Sample,CH2 Power,CH2 Vessel,CH2 Time,CH2 Date,CH2 Messages
1,8,0,0,0,0,0,50,9,10,       ,8:28:22 AM,8/7/2015,,1000,0,0,0,0,0,50,9,10,       ,8:28:23 AM,8/7/2015,
2,1008,0,0,0,0,0,50,9,20,       ,8:28:23 AM,8/7/2015,,2000,0,0,0,0,0,50,9,10,       ,8:28:24 AM,8/7/2015,
3,2008,0,0,0,0,0,50,9,50,       ,8:28:24 AM,8/7/2015,,3000,0,0,0,0,0,50,9,10,       ,8:28:25 AM,8/7/2015,
4,3008,0,0,0,0,0,50,9,80,       ,8:28:25 AM,8/7/2015,,4000,0,0,0,0,0,50,9,10,       ,8:28:26 AM,8/7/2015,
5,4008,0,0,0,0,0,50,9,90,       ,8:28:26 AM,8/7/2015,,5000,0,0,0,0,0,50,9,30,       ,8:28:27 AM,8/7/2015,
6,5008,0,0,0,0,0,50,9,90,       ,8:28:27 AM,8/7/2015,,6000,0,0,0,0,0,50,9,60,       ,8:28:28 AM,8/7/2015,
7,6008,0,0,0,0,0,50,9,90,       ,8:28:28 AM,8/7/2015,,7000,0,0,0,0,0,50,9,90,       ,8:28:29 AM,8/7/2015,
8,7008,0,0,0,0,0,50,9,90,       ,8:28:29 AM,8/7/2015,,8000,0,0,0,0,0,50,9,90,       ,8:28:30 AM,8/7/2015,
9,8008,0,0,0,0,0,50,9,90,       ,8:28:30 AM,8/7/2015,,9000,0,0,0,0,0,50,9,90,       ,8:28:31 AM,8/7/2015,
10,9008,0,0,0,0,0,50,9,90,       ,8:28:31 AM,8/7/2015,,10000,0,0,0,0,0,50,9,90,       ,8:28:32 AM,8/7/2015,
11,10008,0,0,0,0,0,50,9,90,       ,8:28:32 AM,8/7/2015,,11000,0,0,0,0,0,50,9,90,       ,8:28:33 AM,8/7/2015,
12,11008,0,0,0,0,0,50,9,90,       ,8:28:33 AM,8/7/2015,,12000,0,0,0,0,0,50,9,90,       ,8:28:34 AM,8/7/2015,
13,12008,0,0,0,0,0,50,9,90,       ,8:28:34 AM,8/7/2015,,13000,0,0,0,0,0,50,9,90,       ,8:28:35 AM,8/7/2015,
14,13008,0,0,0,0,0,50,9,90,       ,8:28:35 AM,8/7/2015,,14000,0,0,0,0,0,50,9,90,       ,8:28:36 AM,8/7/2015,
15,14008,0,0,0,0,0,50,9,90,       ,8:28:36 AM,8/7/2015,,15000,0,0,0,0,0,50,9,90,       ,8:28:37 AM,8/7/2015,
16,15008,0,0,0,0,0,50,9,90,       ,8:28:37 AM,8/7/2015,,16000,0,0,0,0,0,50,9,90,       ,8:28:38 AM,8/7/2015,
17,16008,0,0,0,0,0,50,9,90,       ,8:28:38 AM,8/7/2015,,17000,0,0,0,0,0,50,9,90,       ,8:28:39 AM,8/7/2015,
18,17008,0,0,0,0,0,50,9,90,       ,8:28:39 AM,8/7/2015,,18000,0,0,0,0,0,50,9,90,       ,8:28:40 AM,8/7/2015,
19,18008,0,0,0,0,0,50,9,90,       ,8:28:40 AM,8/7/2015,,19000,0,0,0,0,0,50,9,90,       ,8:28:41 AM,8/7/2015,
20,19008,0,0,0,0,0,50,9,90,       ,8:28:41 AM,8/7/2015,,20000,0,0,0,0,0,50,9,90,       ,8:28:42 AM,8/7/2015,
21,20008,0,0,0,0,0,50,9,90,       ,8:28:42 AM,8/7/2015,,21000,0,0,0,0,0,50,9,90,       ,8:28:43 AM,8/7/2015,
22,21008,0,0,0,0,0,50,9,90,       ,8:28:43 AM,8/7/2015,,22000,122,18,58,1,1,50,9,90,       ,8:28:44 AM,8/7/2015,
23,22008,152,18,65,2,2,50,9,90,       ,8:28:44 AM,8/7/2015,,23000,137,21,68,1,1,50,9,90,       ,8:28:45 AM,8/7/2015,
24,23008,152,18,65,2,2,50,9,90,       ,8:28:45 AM,8/7/2015,,24000,137,21,68,1,1,50,9,90,       ,8:28:46 AM,8/7/2015,
25,24008,152,18,65,2,2,50,9,90,       ,8:28:46 AM,8/7/2015,,25000,137,21,68,1,1,50,9,90,       ,8:28:47 AM,8/7/2015,
26,25008,152,18,65,2,2,50,9,90,       ,8:28:47 AM,8/7/2015,,26000,0,0,0,1,1,50,9,90,       ,8:28:48 AM,8/7/2015,
27,26008,0,0,0,2,2,50,9,90,       ,8:28:48 AM,8/7/2015,,27000,0,0,0,1,1,50,9,90,       ,8:28:49 AM,8/7/2015,
28,27008,0,0,0,2,2,50,9,90,       ,8:28:49 AM,8/7/2015,,28000,0,0,0,1,1,50,9,90,       ,8:28:50 AM,8/7/2015,
29,28008,0,0,0,2,2,50,9,90,       ,8:28:50 AM,8/7/2015,,29000,0,0,0,1,1,50,9,90,       ,8:28:51 AM,8/7/2015,
30,29008,0,0,0,2,2,50,9,90,       ,8:28:51 AM,8/7/2015,,30000,0,0,0,1,1,50,9,90,       ,8:28:52 AM,8/7/2015,
31,30008,0,0,0,2,2,50,9,90,       ,8:28:52 AM,8/7/2015,,31000,0,0,0,1,1,50,9,90,       ,8:28:53 AM,8/7/2015,
32,31008,0,0,0,2,2,50,9,90,       ,8:28:53 AM,8/7/2015,,32000,0,0,0,1,1,50,9,90,       ,8:28:54 AM,8/7/2015,
33,32008,0,0,0,2,2,50,9,90,       ,8:28:54 AM,8/7/2015,,33000,0,0,0,1,1,50,9,90,       ,8:28:55 AM,8/7/2015,
34,33008,0,0,0,2,2,50,9,90,       ,8:28:55 AM,8/7/2015,,34000,0,0,0,1,1,50,9,90,       ,8:28:56 AM,8/7/2015,
35,34008,0,0,0,2,2,50,9,90,       ,8:28:56 AM,8/7/2015,,35000,0,0,0,1,1,50,9,90,       ,8:28:57 AM,8/7/2015,
36,35008,0,0,0,2,2,50,9,90,       ,8:28:57 AM,8/7/2015,,36000,0,0,0,1,1,50,9,90,       ,8:28:58 AM,8/7/2015,
37,36008,0,0,0,2,2,50,9,90,       ,8:28:58 AM,8/7/2015,,37000,0,0,0,1,1,50,9,90,       ,8:28:59 AM,8/7/2015,
38,37008,0,0,0,2,2,50,9,90,       ,8:28:59 AM,8/7/2015,,38000,0,0,0,1,1,50,9,90,       ,8:29:00 AM,8/7/2015,
39,38008,0,0,0,2,2,50,9,90,       ,8:29:00 AM,8/7/2015,,39000,0,0,0,1,1,50,9,90,       ,8:29:01 AM,8/7/2015,
40,39008,0,0,0,2,2,50,9,90,       ,8:29:01 AM,8/7/2015,,40000,0,0,0,1,1,50,9,90,       ,8:29:02 AM,8/7/2015,
41,40008,0,0,0,2,2,50,9,90,       ,8:29:02 AM,8/7/2015,,41000,0,0,0,1,1,50,9,90,       ,8:29:03 AM,8/7/2015,
42,41008,0,0,0,2,2,50,9,90,       ,8:29:03 AM,8/7/2015,,42000,0,0,0,1,1,50,9,90,       ,8:29:04 AM,8/7/2015,
43,42008,0,0,0,2,2,50,9,90,       ,8:29:04 AM,8/7/2015,,43000,0,0,0,1,1,50,9,90,       ,8:29:05 AM,8/7/2015,
44,43008,0,0,0,2,2,50,9,90,       ,8:29:05 AM,8/7/2015,,44000,0,0,0,1,1,50,9,90,       ,8:29:06 AM,8/7/2015,
45,44008,0,0,0,2,2,50,9,90,       ,8:29:06 AM,8/7/2015,,45000,0,0,0,1,1,50,9,90,       ,8:29:07 AM,8/7/2015,
46,45008,0,0,0,2,2,50,9,90,       ,8:29:07 AM,8/7/2015,,46000,0,0,0,1,1,50,9,90,       ,8:29:08 AM,8/7/2015,
47,46008,0,0,0,2,2,50,9,90,       ,8:29:08 AM,8/7/2015,,47000,0,0,0,1,1,50,9,90,       ,8:29:09 AM,8/7/2015,
48,47008,0,0,0,2,2,50,9,90,       ,8:29:09 AM,8/7/2015,,48000,0,0,0,1,1,50,9,90,       ,8:29:10 AM,8/7/2015,
49,48008,0,0,0,2,2,50,9,90,       ,8:29:10 AM,8/7/2015,,49000,0,0,0,1,1,50,9,90,       ,8:29:11 AM,8/7/2015,
50,49008,0,0,0,2,2,50,9,90,       ,8:29:11 AM,8/7/2015,,50000,0,0,0,1,1,50,9,90,       ,8:29:12 AM,8/7/2015,
51,50008,0,0,0,2,2,50,9,90,       ,8:29:12 AM,8/7/2015,,51000,0,0,0,1,1,50,9,90,       ,8:29:13 AM,8/7/2015,
52,51008,0,0,0,2,2,50,9,90,       ,8:29:13 AM,8/7/2015,,52000,0,0,0,1,1,50,9,90,       ,8:29:14 AM,8/7/2015,
53,52008,0,0,0,2,2,50,9,90,       ,8:29:14 AM,8/7/2015,,53000,0,0,0,1,1,50,9,90,       ,8:29:15 AM,8/7/2015,
54,53008,0,0,0,2,2,50,9,90,       ,8:29:15 AM,8/7/2015,,54000,0,0,0,1,1,50,9,90,       ,8:29:16 AM,8/7/2015,
55,54008,0,0,0,2,2,50,9,90,       ,8:29:16 AM,8/7/2015,,55000,0,0,0,2,2,50,9,90,       ,8:29:17 AM,8/7/2015,
56,55008,0,0,0,2,2,50,9,90,       ,8:29:17 AM,8/7/2015,,56000,0,0,0,2,2,50,9,90,       ,8:29:18 AM,8/7/2015,
57,56008,0,0,0,2,2,50,9,90,       ,8:29:18 AM,8/7/2015,,57000,0,0,0,2,2,50,9,90,       ,8:29:19 AM,8/7/2015,
58,57008,0,0,0,2,2,50,9,90,       ,8:29:19 AM,8/7/2015,,58000,0,0,0,2,2,50,9,90,       ,8:29:20 AM,8/7/2015,
59,58008,0,0,0,2,2,50,9,90,       ,8:29:20 AM,8/7/2015,,59000,0,0,0,3,3,50,9,90,       ,8:29:21 AM,8/7/2015,
60,59008,0,0,0,2,2,50,9,90,       ,8:29:21 AM,8/7/2015,,60000,149,0,32,3,3,50,9,90,       ,8:29:22 AM,8/7/2015,
61,60008,0,0,0,2,2,50,9,90,       ,8:29:22 AM,8/7/2015,,61000,149,0,32,3,3,50,9,90,       ,8:29:23 AM,8/7/2015,
