10:56:57:736	Application Starting
10:57:02:766	Upload Task starting
10:57:02:782	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
10:57:02:941	Upload Task completed
10:57:10:011	Upload Task starting
10:57:10:019	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
10:57:11:035	Upload Task event uploaded for counterdevice2
10:57:14:241	Upload Task event uploaded for counterdevice3
10:57:15:285	Upload Task event uploaded for counterdevice2
10:57:16:308	Upload Task event uploaded for counterdevice3
10:57:18:379	Upload Task event uploaded for counterdevice2
10:57:19:459	Upload Task event uploaded for counterdevice3
10:57:20:549	Upload Task event uploaded for counterdevice2
10:57:21:609	Upload Task event uploaded for counterdevice3
10:57:23:679	Upload Task cancellation request
10:57:23:706	Upload Task completed
