14:12:47:040	Application Starting
14:13:14:396	Upload Task starting
14:13:14:408	Data File: C:\RaviTella\Source\Repos\SimulatorLight\bin\Release\Data/skype.csv
14:13:15:718	Upload Task event uploaded for counter2019-05-30 14:01:58.777
14:13:18:888	Upload Task event uploaded for counter2019-04-01 21:24:26.180
14:13:21:913	Upload Task event uploaded for counter2019-05-28 13:45:20.997
14:13:24:931	Upload Task event uploaded for counter2019-05-02 17:59:22.357
14:13:28:946	Upload Task event uploaded for counter2019-05-30 14:01:58.777
14:13:31:962	Upload Task event uploaded for counter2019-04-01 21:24:26.180
14:13:35:019	Upload Task cancellation request
14:13:35:038	Upload Task completed
